训练轮次,平均奖励,电压越限次数,PSH约束违反,可再生能源消纳率,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
1,-0.1251,0,0,100.0,41,28,27,,0.499,0.501,0.9512,1.0,5.153215,0.013043,10.38591,
2,-0.013,100,0,100.0,39,16,41,,0.545,0.455,0.9423,1.0,17.699984,-0.044714,35.595268,
3,-0.1548,10,0,100.0,44,17,35,,0.698,0.302,0.9482,1.0,11.829727,0.01721,23.730267,
4,0.0553,0,0,95.6,31,25,40,,0.794,0.206,0.9616,1.0222,2.678365,-0.015271,5.49298,
5,0.1453,0,0,99.7,21,27,48,,0.802,0.198,0.9546,1.0149,3.041471,-0.011796,6.211377,
6,0.1683,116,0,100.0,19,26,51,,0.77,0.23,0.9389,1.0,7.071974,0.026457,14.194091,
7,0.6356,34,0,100.0,11,30,55,,0.506,0.494,0.9449,1.0,68.766986,-0.030536,137.69798,
8,0.3815,0,0,100.0,8,28,60,,0.313,0.687,0.9512,1.0001,31.817147,-0.042983,63.82386,
9,0.3173,0,0,96.9,17,26,53,,0.231,0.769,0.9572,1.014,9.606188,-0.032236,19.381063,
10,0.3686,176,0,100.0,11,41,44,,0.117,0.883,0.9371,1.0,17.796819,0.004467,35.688612,0.285
11,0.2271,0,0,100.0,13,50,33,,0.11,0.89,0.9646,1.0,8.098157,-0.021958,16.343891,
12,0.1571,24,0,100.0,8,54,34,,0.129,0.871,0.9476,1.0113,3.325907,-0.00496,6.765069,
13,0.2846,0,0,100.0,6,57,33,,0.11,0.89,0.956,1.0092,6.305989,-0.018632,12.752355,
14,0.1235,205,0,100.0,13,47,36,,0.12,0.88,0.937,1.0,0.901836,0.030281,1.846626,
15,0.2388,0,0,96.8,12,50,34,,0.13,0.87,0.965,1.0228,8.706206,-0.02158,17.559967,
